second,Volt,Volt
-7.2740E-03,+474.3719E-03,-482.4E-06
-7.2640E-03,+474.3719E-03,-402.0E-06
-7.2540E-03,+474.3719E-03,-402.0E-06
-7.2440E-03,+474.3719E-03,-643.2E-06
-7.2340E-03,+474.3719E-03,-0.0E+00
-7.2240E-03,+474.3719E-03,-241.2E-06
-7.2140E-03,+474.3719E-03,-241.2E-06
-7.2040E-03,+466.3317E-03,-0.0E+00
-7.1940E-03,+474.3719E-03,-0.0E+00
-7.1840E-03,+466.3317E-03,-80.4E-06
-7.1740E-03,+466.3317E-03,-160.8E-06
-7.1640E-03,+474.3719E-03,-241.2E-06
-7.1540E-03,+474.3719E-03,-241.2E-06
-7.1440E-03,+466.3317E-03,-321.6E-06
-7.1340E-03,+474.3719E-03,-160.8E-06
-7.1240E-03,+466.3317E-03,-241.2E-06
-7.1140E-03,+466.3317E-03,-482.4E-06
-7.1040E-03,+466.3317E-03,-402.0E-06
-7.0940E-03,+466.3317E-03,-241.2E-06
-7.0840E-03,+466.3317E-03,-160.8E-06
-7.0740E-03,+466.3317E-03,-0.0E+00
-7.0640E-03,+458.2915E-03,-241.2E-06
-7.0540E-03,+466.3317E-03,-0.0E+00
-7.0440E-03,+458.2915E-03,-241.2E-06
-7.0340E-03,+458.2915E-03,-160.8E-06
-7.0240E-03,+458.2915E-03,-402.0E-06
-7.0140E-03,+458.2915E-03,-402.0E-06
-7.0040E-03,+458.2915E-03,-402.0E-06
-6.9940E-03,+458.2915E-03,+241.2E-06
-6.9840E-03,+458.2915E-03,-241.2E-06
-6.9740E-03,+458.2915E-03,-321.6E-06
-6.9640E-03,+450.2513E-03,-241.2E-06
-6.9540E-03,+458.2915E-03,-321.6E-06
-6.9440E-03,+450.2513E-03,-160.8E-06
-6.9340E-03,+450.2513E-03,-402.0E-06
-6.9240E-03,+450.2513E-03,-0.0E+00
-6.9140E-03,+442.2111E-03,-321.6E-06
-6.9040E-03,+442.2111E-03,-80.4E-06
-6.8940E-03,+442.2111E-03,-402.0E-06
-6.8840E-03,+442.2111E-03,-0.0E+00
-6.8740E-03,+442.2111E-03,-482.4E-06
-6.8640E-03,+442.2111E-03,-160.8E-06
-6.8540E-03,+450.2513E-03,-321.6E-06
-6.8440E-03,+434.1708E-03,-241.2E-06
-6.8340E-03,+442.2111E-03,-482.4E-06
-6.8240E-03,+442.2111E-03,-241.2E-06
-6.8140E-03,+434.1708E-03,-80.4E-06
-6.8040E-03,+434.1708E-03,-321.6E-06
-6.7940E-03,+434.1708E-03,-241.2E-06
-6.7840E-03,+426.1306E-03,-402.0E-06
-6.7740E-03,+434.1708E-03,-241.2E-06
-6.7640E-03,+426.1306E-03,-562.8E-06
-6.7540E-03,+426.1306E-03,-241.2E-06
-6.7440E-03,+426.1306E-03,-80.4E-06
-6.7340E-03,+426.1306E-03,-241.2E-06
-6.7240E-03,+426.1306E-03,-321.6E-06
-6.7140E-03,+426.1306E-03,-643.2E-06
-6.7040E-03,+426.1306E-03,-321.6E-06
-6.6940E-03,+418.0904E-03,+160.8E-06
-6.6840E-03,+418.0904E-03,-321.6E-06
-6.6740E-03,+418.0904E-03,-321.6E-06
-6.6640E-03,+418.0904E-03,-0.0E+00
-6.6540E-03,+410.0502E-03,-402.0E-06
-6.6440E-03,+402.0100E-03,-562.8E-06
-6.6340E-03,+402.0100E-03,-160.8E-06
-6.6240E-03,+410.0502E-03,-562.8E-06
-6.6140E-03,+410.0502E-03,-160.8E-06
-6.6040E-03,+410.0502E-03,-241.2E-06
-6.5940E-03,+402.0100E-03,-80.4E-06
-6.5840E-03,+410.0502E-03,-402.0E-06
-6.5740E-03,+402.0100E-03,-402.0E-06
-6.5640E-03,+402.0100E-03,-0.0E+00
-6.5540E-03,+402.0100E-03,-643.2E-06
-6.5440E-03,+393.9698E-03,-321.6E-06
-6.5340E-03,+385.9296E-03,-321.6E-06
-6.5240E-03,+393.9698E-03,-643.2E-06
-6.5140E-03,+393.9698E-03,-321.6E-06
-6.5040E-03,+393.9698E-03,-80.4E-06
-6.4940E-03,+393.9698E-03,-241.2E-06
-6.4840E-03,+393.9698E-03,-402.0E-06
-6.4740E-03,+385.9296E-03,-321.6E-06
-6.4640E-03,+377.8894E-03,-482.4E-06
-6.4540E-03,+377.8894E-03,-402.0E-06
-6.4440E-03,+377.8894E-03,-402.0E-06
-6.4340E-03,+377.8894E-03,-321.6E-06
-6.4240E-03,+377.8894E-03,-160.8E-06
-6.4140E-03,+369.8492E-03,-241.2E-06
-6.4040E-03,+369.8492E-03,-241.2E-06
-6.3940E-03,+377.8894E-03,-321.6E-06
-6.3840E-03,+361.8090E-03,-562.8E-06
-6.3740E-03,+369.8492E-03,-160.8E-06
-6.3640E-03,+369.8492E-03,-402.0E-06
-6.3540E-03,+361.8090E-03,-402.0E-06
-6.3440E-03,+353.7688E-03,-321.6E-06
-6.3340E-03,+353.7688E-03,-562.8E-06
-6.3240E-03,+361.8090E-03,-241.2E-06
-6.3140E-03,+345.7286E-03,-241.2E-06
-6.3040E-03,+345.7286E-03,-80.4E-06
-6.2940E-03,+345.7286E-03,-402.0E-06
-6.2840E-03,+345.7286E-03,-80.4E-06
-6.2740E-03,+337.6884E-03,-562.8E-06
